Article_title,Year,First_author,Journal,JIF,JIF_year,JIF_5yrs,Cite_counts,Pubs,Fields,Subfields,SJR year,SJR
"Zircon U–Pb age, Hf and O isotope constraints on protolith origin of ultrahigh-pressure eclogite and gneiss in the Dabie orogen
YF Zheng, ZF Zhao, YB Wu, SB Zhang, X Liu… - Chemical …, 2006",2006,Yong-Fei Zheng/郑永飞,Chemical Geology,3.347,2016,4.038,393,Elsevier,LES,Geochem_mineralogy,2017,1.76
"Midlatitude westerlies, atmospheric CO2, and climate change during the ice ages
JR Toggweiler, JL Russell, SR Carson - Paleoceanography, 2006",2006,Joellen L Russell,Paleoceanography,3.433,2016,3.5484,512,Wiley,LES,Geology,2017,
"A global sensitivity analysis tool for the parameters of multi-variable catchment models
A Van Griensven, T Meixner, S Grunwald… - Journal of …, 2006",2006,Ann van Griensven,Journal of hydrology ,3.483,2016,4.043,774,Elsevier,LES,Hydrology_water_res,2017,1.83
"The genesis of intermediate and silicic magmas in deep crustal hot zones
C Annen, JD Blundy, RSJ Sparks - Journal of Petrology, 2006",2006,Annen Catherine,Journal Petrology,3.768,2016,4.29,822,Oxford Univ Press,LES,Geochem_mineralogy,2017,3.16
"Petrogenesis of adakitic porphyries in an extensional tectonic setting, Dexing, South China: implications for the genesis of porphyry copper mineralization
Q Wang, JF Xu, P Jian, ZW Bao, Z Zhao, CF Li… - Journal of …, 2006",2006,No profiles,Journal of Petrology,3.768,2016,4.29,450,Oxford Univ Press,LES,Geochem_mineralogy,2017,3.16
"A framework for assessing uncertainties in climate change impacts: Low‐flow scenarios for the River Thames, UK
RL Wilby, I Harris - Water Resources Research, 2006",2006,Robert Wilby,Water Resources Research,3.792,2016,3.4312,597,Wiley,LES,Hydrology_water_res,2017,2.3
"Getting the right answers for the right reasons: Linking measurements, analyses, and models to advance the science of hydrology
JW Kirchner - Water Resources Research, 2006",2006,James Kirchner,Water Resources Research,3.792,2016,3.4312,584,Wiley,LES,Hydrology_water_res,2017,2.3
"Impact of relative permeability hysteresis on geological CO2 storage
R Juanes, EJ Spiteri, FM Orr… - Water Resources Research, 2006",2006,Ruben Juanes,Water Resources Research,3.792,2016,3.4312,523,Wiley,LES,Hydrology_water_res,2017,2.3
"Bayesian analysis of input uncertainty in hydrological modeling: 2. Application
D Kavetski, G Kuczera, SW Franks - Water Resources Research, 2006",2006,Dmitri Kavetski,Water Resources Research,3.792,2016,3.4312,460,Wiley,LES,Hydrology_water_res,2017,2.3
"Visible, near infrared, mid infrared or combined diffuse reflectance spectroscopy for simultaneous assessment of various soil properties
RAV Rossel, DJJ Walvoort, AB McBratney, LJ Janik… - Geoderma, 2006",2006,Raphael VISCARRA ROSSEL,Geoderma,4.036,2016,4.163,989,Elsevier,LES,Soil_sci,2017,1.72
"Global soil characterization with VNIR diffuse reflectance spectroscopy
DJ Brown, KD Shepherd, MG Walsh, MD Mays… - Geoderma, 2006",2006,Keith Shepherd,Geoderma,4.036,2016,4.163,503,Elsevier,LES,Soil_sci,2017,1.72
"Molecular size and weight of asphaltene and asphaltene solubility fractions from coals, crude oils and bitumen
S Badre, CC Goncalves, K Norinaga, G Gustavson",2006,"Badre, S.",Fuel,4.601,2016,4.726,218,Elsevier,LES,Oil_petroleum_natural_gas,2017,1.89
"Evaluation of different reaction strategies for the improvement of cetane number in diesel fuels
RC Santana, PT Do, M Santikunaporn, WE Alvarez… - Fuel, 2006",2006,"Santana, RC",Fuel,4.601,2016,4.726,187,Elsevier,LES,Oil_petroleum_natural_gas,2017,1.89
"GEOCARBSULF: a combined model for Phanerozoic atmospheric O 2 and CO 2
RA Berner - Geochimica et Cosmochimica Acta, 2006",2006,Robert Berner (1935-2015),Geochimica et Cosmochimica Acta,4.609,2016,4.837,544,Elsevier,LES,Geochem_mineralogy,2017,2.68
"Trace element and isotopic composition of GJ-red zircon standard by laser ablation
S Elhlou, E Belousova, WL Griffin… - Geochimica et …, 2006",2006,Suzanne Yvette O'Reilly,Geochimica et Cosmochimica Acta,4.609,2016,4.837,392,Elsevier,LES,Geochem_mineralogy,2017,2.68
"Global glacial ice volume and Last Glacial Maximum duration from an extended Barbados sea level record
WR Peltier, RG Fairbanks",2006,W.R. Peltier,Quaternary Science Reviews,4.797,2016,5.227,712,Elsevier,LES,Geology,2017,2.67
"The role of zooxanthellae in the thermal tolerance of corals: a ‘nugget of hope’for coral reefs in an era of climate change
R Berkelmans, MJH Van Oppen - … of the Royal Society of London B …, 2006",2006,Madeleine JH van Oppen,Proceedings of the Royal Society of London B: Biological Sciences,4.823,2016,5.366,659,Royal Society of London,LES,Marine_Sci_Fisheries,2017,
"Climate–carbon cycle feedback analysis: results from the C4MIP model intercomparison
P Friedlingstein, P Cox, R Betts, L Bopp… - Journal of …, 2006",2006,Pierre Friedlingstein,Journal of Climate,4.85,2016,4.5296,2123,American Meteorological Soc,LES,Atmospheric_sci,2017,3.85
"Robust responses of the hydrological cycle to global warming
IM Held, BJ Soden - Journal of Climate, 2006",2006,Isaac Held,Journal of Climate,4.85,2016,4.5296,2122,American Meteorological Soc,LES,Atmospheric_sci,2017,3.85
"The community climate system model version 3 (CCSM3)
WD Collins, CM Bitz, ML Blackmon, GB Bonan… - Journal of …, 2006",2006,William Drew (Bill) Collins,Journal of Climate,4.85,2016,4.5296,2070,American Meteorological Soc,LES,Atmospheric_sci,2017,3.85
"GFDL's CM2 global coupled climate models. Part I: Formulation and simulation characteristics
TL Delworth, AJ Broccoli, A Rosati, RJ Stouffer… - Journal of …, 2006",2006,Thomas L Delworth,Journal of Climate,4.85,2016,4.5296,1360,American Meteorological Soc,LES,Atmospheric_sci,2017,3.85
"Experimental evaluation of methods to quantify dissolved organic nitrogen (DON) and dissolved organic carbon (DOC) in soil
DL Jones, VB Willett - Soil Biology and Biochemistry, 2006",2006,Davey Jones,Soil Biology and Biochemistry,4.857,2016,5.437,433,Elsevier,LES,Soil_sci,2017,2.6
"Emission of N 2 O, N 2 and CO 2 from soil fertilized with nitrate: effect of compaction, soil moisture and rewetting
R Ruser, H Flessa, R Russow, G Schmidt… - Soil Biology and …, 2006",2006,No profiles,Soil Biology and Biochemistry,4.857,2016,5.437,348,Elsevier,LES,Soil_sci,2017,2.6
"pH regulation of carbon and nitrogen dynamics in two agricultural soils
SJ Kemmitt, D Wright, KWT Goulding… - Soil Biology and …, 2006",2006,Davey Jones,Soil Biology and Biochemistry,4.857,2016,5.437,336,Elsevier,LES,Soil_sci,2017,2.6
"Interannual variability in global biomass burning emissions from 1997 to 2004
GR van der Werf, JT Randerson, L Giglio… - Atmospheric …, 2006",2006,Guido van der Werf,Atmospheric Chemistry and Physics,5.318,2015,5.896,1319,European Geosciences Union,LES,Atmospheric_sci,2017,3.03
"Cenozoic tectonic evolution of the Himalayan orogen as constrained by along-strike variation of structural geometry, exhumation history, and foreland sedimentation
A Yin - Earth-Science Reviews, 2006",2006,An Yin,Earth Science Reviews,7.051,2016,9.078,706,Elsevier,LES,Geology,2017,3.33
"Modification and preservation of environmental signals in speleothems
IJ Fairchild, CL Smith, A Baker, L Fuller… - Earth-Science …, 2006",2006,Ian J Fairchild,Earth Science Reviews,7.051,2016,9.078,543,Elsevier,LES,Geology,2017,3.33
"North American regional reanalysis
F Mesinger, G DiMego, E Kalnay… - Bulletin of the …, 2006",2006,Fedor Mesinger,Bulletin of the American Meteorological Society,7.929,2015,7.929,2113,American Meteorological Society,LES,Atmospheric_sci,2017,4.15
"Enhancing crop yields in the developing countries through restoration of the soil organic carbon pool in agricultural lands
R Lal - Land Degradation & Development, 2006",2006,No profile,Land Degradation and Development,8.145,2016,3.337,432,Wiley,LES,Soil_sci,2017,1.76
"Global temperature change
J Hansen, M Sato, R Ruedy, K Lo, DW Lea… - Proceedings of the …, 2006",2006,Martín Medina Elizalde,Proceedings of the National Academy of Sciences,9.661,2016,10.414,1480,National Academy of Sciences,LES,Atmospheric_sci,2017,6.09
"Dynamic fragility of oceanic coral reef ecosystems
NAJ Graham, SK Wilson, S Jennings… - Proceedings of the …, 2006",2006,Nick Graham,Proceedings of the National Academy of Sciences ,9.661,2016,10.414,522,National Academy of Sciences,LES,Marine_Sci_Fisheries,2017,6.1
"The evolutionary diversification of cyanobacteria: molecular–phylogenetic and paleontological perspectives
A Tomitani, AH Knoll, CM Cavanaugh… - Proceedings of the …, 2006",2006,Andrew H Knoll,Proceedings of the National Academy of Sciences,9.661,2016,10.414,308,National Academy of Sciences,LES,Paleontology,2017,6.11
"Sequestering carbon dioxide into complex structures of naturally occurring gas hydrates
Y Park, DY Kim, JW Lee, DG Huh, KP Park… - Proceedings of the …, 2006",2006,Youngjune Park,Proceedings of the National Academy of Sciences,9.661,2016,10.414,264,National Academy of Sciences,LES,Enviro_geology_eng,2017,6.12
"Rapid Asia–Europe–North America geographic dispersal of earliest Eocene primate Teilhardina during the Paleocene–Eocene thermal maximum
T Smith, KD Rose, PD Gingerich - Proceedings of the National …, 2006",2006,Philip D. Gingerich,Proceedings of the National Academy of Sciences,9.661,2016,10.414,172,National Academy of Sciences,LES,Paleontology,2017,6.13
"Depletion, degradation, and recovery potential of estuaries and coastal seas
HK Lotze, HS Lenihan, BJ Bourque, RH Bradbury… - Science, 2006",2006,Heike K. Lotze,Science,37.205,2016,35.26,1700,AAAS,LES,Marine_Sci_Fisheries,2017,14.14
"The genome of the sea urchin Strongylocentrotus purpuratus
E Sodergren, GM Weinstock, EH Davidson… - Science, 2006",2006,George Weinstock,Science,37.205,2016,35.26,823,AAAS,LES,Marine_Sci_Fisheries,2017,14.14
"Niche partitioning among Prochlorococcus ecotypes along ocean-scale environmental gradients
ZI Johnson, ER Zinser, A Coe, NP McNulty… - Science, 2006",2006,Zackary Johnson,Science,37.205,2016,35.26,571,AAAS,LES,Marine_Sci_Fisheries,2017,14.14
"Paleoclimatic evidence for future ice-sheet instability and rapid sea-level rise
JT Overpeck, BL Otto-Bliesner, GH Miller, DR Muhs… - Science, 2006",2006,Jonathan Overpeck,Science,37.205,2016,35.26,521,AAAS,LES,Geology,2017,14.14
"Regenerative adsorption and removal of H2S from hot fuel gas streams by rare earth oxides
M Flytzani-Stephanopoulos, M Sakbodin, Z Wang",2006,"Flytzani-Stephanopoulos, M.",Science,37.205,2016,35.26,198,AAAS,LES,Oil_petroleum_natural_gas,2017,14.14
"A swimming mammaliaform from the Middle Jurassic and ecomorphological diversification of early mammals
Q Ji, ZX Luo, CX Yuan, AR Tabrum - Science, 2006",2006,Zhe-Xi Luo,Science,37.205,2016,35.26,197,AAAS,LES,Paleontology,2017,14.14
"Detection of a direct carbon dioxide effect in continental river runoff records
N Gedney, PM Cox, RA Betts, O Boucher… - Nature, 2006",2006,Peter Cox,Nature,38.138,2016,38.2934,646,Springer-Nature,LES,Hydrology_water_res,2017,17.87
"Oxidation of the Ediacaran ocean
DA Fike, JP Grotzinger, LM Pratt, RE Summons - Nature, 2006",2006,David Fike,Nature,38.138,2016,38.2934,575,Springer-Nature,LES,Geology,2017,17.87
"Stromatolite reef from the Early Archaean era of Australia
AC Allwood, MR Walter, BS Kamber, CP Marshall… - Nature, 2006",2006,Abigail Allwood,Nature,38.138,2016,38.2934,575,Springer-Nature,LES,Geology,2017,17.87
"Palaeo-altimetry of the late Eocene to Miocene Lunpola basin, central Tibet
DB Rowley, BS Currie - Nature, 2006",2006,David Rowley,Nature,38.138,2016,38.2934,517,Springer-Nature,LES,Geology,2017,17.87
"Winter forest soil respiration controlled by climate and microbial community composition
RK Monson, DL Lipson, SP Burns, AA Turnipseed… - Nature, 2006",2006,Russell Monson,Nature,38.138,2016,38.2934,406,Springer-Nature,LES,Soil_sci,2017,17.87
"A Devonian tetrapod-like fish and the evolution of the tetrapod body plan
EB Daeschler, NH Shubin, FA Jenkins - Nature, 2006",2006,No profiles,Nature,38.138,2016,38.2934,340,Springer-Nature,LES,Paleontology,2017,17.87
"The pectoral fin of Tiktaalik roseae and the origin of the tetrapod limb
NH Shubin, EB Daeschler, FA Jenkins - Nature, 2006",2006,No profiles,Nature,38.138,2016,38.2934,251,Springer-Nature,LES,Paleontology,2017,17.87
"A basal tyrannosauroid dinosaur from the Late Jurassic of China
X Xu, JM Clark, CA Forster, MA Norell, GM Erickson… - Nature, 2006",2006,Xing Xu,Nature,38.138,2016,38.2934,158,Springer-Nature,LES,Paleontology,2017,17.87
