Authors,Author(s) ID,Title,Year,age,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Access Type,Source,EID
"Stroeve, J., Holland, M.M., Meier, W., Scambos, T., Serreze, M.",6602079010;57202754759;7202026956;7003916945;7003455444;,Arctic sea ice decline: Faster than forecast,2007,10,Geophysical Research Letters,34,9, L09501,,,,1074,10.1029/2007GL029703,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34347252963&doi=10.1029%2f2007GL029703&partnerID=40&md5=8362e734ee7ef924f1b3977bb74676aa,Article,Open Access,Scopus,2-s2.0-34347252963
"Tranvik, L.J., Downing, J.A., Cotner, J.B., Loiselle, S.A., Striegl, R.G., Ballatore, T.J., Dillon, P., Finlay, K., Fortino, K., Knoll, L.B., Kortelainen, P.L., Kutser, T., Larsen, S., Laurion, I., Leech, D.M., Leigh McCallister, S., McKnight, D.M., Melack, J.M., Overholt, E., Porter, J.A., Prairie, Y., Renwick, W.H., Roland, F., Sherman, B.S., Schindler, D.W., Sobek, S., Tremblay, A., Vanni, M.J., Verschoor, A.M., Von Wachenfeldt, E., Weyhenmeyer, G.A.",7005414138;57203175300;6701321646;55917010600;6603865712;6505817678;7103005266;16678577700;7801498662;8596355100;7004712151;6602980676;35242892000;6602286690;7006363415;37079205400;7103272759;7006392633;37079549900;22958516100;6701336753;6603763784;7003459457;7103246871;23081394300;7801642570;7202202458;7006500936;55154047000;6504320404;6602535404;,Lakes and reservoirs as regulators of carbon cycling and climate,2009,8,Limnology and Oceanography,54,6 PART 2,,2298,2314,,965,10.4319/lo.2009.54.6_part_2.2298,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952355458&doi=10.4319%2flo.2009.54.6_part_2.2298&partnerID=40&md5=dc835b01e3a567005fe342a4b67c6458,Article,Open Access,Scopus,2-s2.0-77952355458
"Raupach, M.R., Marland, G., Ciais, P., Le Quéré, C., Canadell, J.G., Klepper, G., Field, C.B.",7005649482;7007082281;55399842300;55909419800;7006765673;6603173406;7202432336;,Global and regional drivers of accelerating CO<inf>2</inf> emissions,2007,10,Proceedings of the National Academy of Sciences of the United States of America,104,24,,10288,10293,,964,10.1073/pnas.0700609104,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34547217433&doi=10.1073%2fpnas.0700609104&partnerID=40&md5=3296e17a0195383f4962f2ff77b241b7,Article,Open Access,Scopus,2-s2.0-34547217433
"Wang, Y., Cheng, H., Edwards, R.L., Kong, X., Shao, X., Chen, S., Wu, J., Jiang, X., Wang, X., An, Z.",35604860600;7404285341;7403978616;8385016100;55118538100;15062250300;7409258471;23670348700;57075093400;57196890224;,"Millennial- and orbital-scale changes in the East Asian monsoon over the past 224,000 years",2008,9,Nature,451,7182,,1090,1093,,934,10.1038/nature06692,https://www.scopus.com/inward/record.uri?eid=2-s2.0-39849093424&doi=10.1038%2fnature06692&partnerID=40&md5=27358ce0cb2e7ca6e0b9e6a9af47104e,Article,Open Access,Scopus,2-s2.0-39849093424
"Hansen, J., Sato, M., Ruedy, R., Lo, K., Lea, D.W., Medina-Elizade, M.",7404334532;7405727977;6604021707;12241892400;7005415069;14822204700;,Global temperature change,2006,11,Proceedings of the National Academy of Sciences of the United States of America,103,39,,14288,14293,,931,10.1073/pnas.0606291103,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33749238010&doi=10.1073%2fpnas.0606291103&partnerID=40&md5=0b8ddbb723832a4b76b402882edfa6fd,Article,Open Access,Scopus,2-s2.0-33749238010
"Comiso, J.C., Parkinson, C.L., Gersten, R., Stock, L.",57202245193;7102253099;8345020200;7006906259;,Accelerated decline in the Arctic sea ice cover,2008,9,Geophysical Research Letters,35,1, L01703,,,,920,10.1029/2007GL031972,https://www.scopus.com/inward/record.uri?eid=2-s2.0-41549164850&doi=10.1029%2f2007GL031972&partnerID=40&md5=512d07c87a89f6c9e8190b12330e8795,Article,Open Access,Scopus,2-s2.0-41549164850
"Kearney, M., Porter, W.",55489023100;7202886784;,Mechanistic niche modelling: Combining physiological and spatial data to predict species' ranges,2009,8,Ecology Letters,12,4,,334,350,,887,10.1111/j.1461-0248.2008.01277.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-62149086187&doi=10.1111%2fj.1461-0248.2008.01277.x&partnerID=40&md5=93b77d9a6c7f92f00042717e508bc32e,Article,Open Access,Scopus,2-s2.0-62149086187
"Bibring, J.-P., Langevin, Y., Mustard, J.F., Poulet, F., Arvidson, R., Gendrin, A., Gondet, B., Mangold, N., Pinet, P., Forget, F., Berthe, M., Gomez, C., Jouglet, D., Soufflot, A., Vincendon, M., Combes, M., Drossart, P., Encrenaz, T., Fouchet, T., Merchiorri, R., Belluci, G., Altieri, F., Formisano, V., Capaccioni, F., Cerroni, P., Coradini, A., Fonti, S., Korablev, O., Kottsov, V., Ignatiev, N., Moroz, V., Titov, D., Zasova, L., Loiseau, D., Pinet, P., Douté, S., Schmitt, B., Sotin, C., Hauber, E., Hoffmann, H., Jaumann, R., Keller, U., Arvidson, R., Duxbury, T., Forget, F., Neukum, G.",6604037777;7004136722;7101697496;55271046500;57192845742;35571677800;6506872631;6601937124;57197320846;57204298288;6602177624;55485047400;22933974800;7801336048;22936313000;8847661900;7004245303;7006094056;8925417700;8234199400;8847661200;14010575400;55405904600;6701902942;56065927700;7004109307;8986831200;6701419975;8234200300;8583496600;7102508311;7003962569;6604017334;13005692300;6604008232;6602142535;7202241041;57203083372;6603210645;55352975800;8596289100;8234201500;26425436200;35500228300;6701751765;7003350103;,Global mineralogical and aqueous Mars history derived from OMEGA/Mars express data,2006,11,Science,312,5772,,400,404,,863,10.1126/science.1122659,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646008552&doi=10.1126%2fscience.1122659&partnerID=40&md5=3c842428ff22a8a221efa53418c34f97,Article,Open Access,Scopus,2-s2.0-33646008552
"Church, J.A., White, N.J.",55216875500;7401767403;,A 20th century acceleration in global sea-level rise,2006,11,Geophysical Research Letters,33,1,,,,,851,10.1029/2005GL024826,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644612063&doi=10.1029%2f2005GL024826&partnerID=40&md5=ac936d715eecec21ecacf6a88e2ee548,Article,Open Access,Scopus,2-s2.0-33644612063
"Saatchi, S.S., Harris, N.L., Brown, S., Lefsky, M., Mitchard, E.T.A., Salas, W., Zutta, B.R., Buermann, W., Lewis, S.L., Hagen, S., Petrova, S., White, L., Silman, M., Morel, A.",7003557623;35793242500;7501419777;6602922974;23994079400;6701773971;15081886300;6602219523;56105640400;35582889000;35105800200;7402225781;6602205640;24741163900;,Benchmark map of forest carbon stocks in tropical regions across three continents,2011,6,Proceedings of the National Academy of Sciences of the United States of America,108,24,,9899,9904,,824,10.1073/pnas.1019576108,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959363987&doi=10.1073%2fpnas.1019576108&partnerID=40&md5=bbb228818c69c848c584ef63e069c1ce,Article,Open Access,Scopus,2-s2.0-79959363987
"Williams, J.W., Jackson, S.T.",35427386200;7402695641;,"Novel climates, no-analog communities, and ecological surprises",2007,10,Frontiers in Ecology and the Environment,5,9,,475,482,,742,10.1890/070037,https://www.scopus.com/inward/record.uri?eid=2-s2.0-35948950157&doi=10.1890%2f070037&partnerID=40&md5=ff4c69b3acc4e55e6fcee64c97085470,Article,Open Access,Scopus,2-s2.0-35948950157
"Riahi, K., Rao, S., Krey, V., Cho, C., Chirkov, V., Fischer, G., Kindermann, G., Nakicenovic, N., Rafaj, P.",6602435618;18537628500;24332203900;57197220618;13407585700;56225590900;16307152000;56014503100;15051087300;,RCP 8.5-A scenario of comparatively high greenhouse gas emissions,2011,6,Climatic Change,109,1,,33,57,,737,10.1007/s10584-011-0149-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053907929&doi=10.1007%2fs10584-011-0149-y&partnerID=40&md5=0e4d651ba4d9ceab43948fe9ebd5936c,Article,Open Access,Scopus,2-s2.0-80053907929
"Braconnot, P., Otto-Bliesner, B., Harrison, S., Joussaume, S., Peterchmitt, J.-Y., Abe-Ouchi, A., Crucifix, M., Driesschaert, E., Fichefet, Th., Hewitt, C.D., Kageyama, M., Kitoh, A., Laîné, A., Loutre, M.-F., Marti, O., Merkel, U., Ramstein, G., Valdes, P., Weber, S.L., Yu, Y., Zhao, Y.",6603875926;6701853567;7402647751;6603906450;16480949900;6603196127;6602665711;55963132100;7003941060;7202923875;7007181954;57200125795;16480666100;7003435680;10143232600;16481049400;7004828383;56033135100;8255576800;7406250414;35228267400;,Results of PMIP2 coupled simulations of the Mid-Holocene and last glacial maximum - Part 1: Experiments and large-scale features,2007,10,Climate of the Past,3,2,,261,277,,734,10.5194/cp-3-261-2007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34250217865&doi=10.5194%2fcp-3-261-2007&partnerID=40&md5=170994f6e4a364dceb571a703740f0cd,Article,Open Access,Scopus,2-s2.0-34250217865
"Maraun, D., Wetterhall, F., Ireson, A.M., Chandler, R.E., Kendon, E.J., Widmann, M., Brienen, S., Rust, H.W., Sauter, T., Themel, M., Venema, V.K.C., Chun, K.P., Goodess, C.M., Jones, R.G., Onof, C., Vrac, M., Thiele-Eich, I.",6507111233;8527157900;14830502800;7101629322;25226537800;8041891400;36543517200;8202285000;26323851300;36544272000;7004357137;26666468500;6602498322;55722586400;6701689499;23026193200;36544305800;,Precipitation downscaling under climate change: Recent developments to bridge the gap between dynamical models and the end user,2010,7,Reviews of Geophysics,48,3, RG3003,,,,722,10.1029/2009RG000314,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954700859&doi=10.1029%2f2009RG000314&partnerID=40&md5=feb8bc6a5b6df25feb00b5b54baaf779,Article,Open Access,Scopus,2-s2.0-77954700859
"Woolf, D., Amonette, J.E., Street-Perrott, F.A., Lehmann, J., Joseph, S.",37019059800;7004614379;7004697981;7202265439;23035174700;,Sustainable biochar to mitigate global climate change,2010,7,Nature Communications,1,5,,,,,714,10.1038/ncomms1053,https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650160140&doi=10.1038%2fncomms1053&partnerID=40&md5=71ab79d40cd2fc55da16bc1f88502ac9,Article,Open Access,Scopus,2-s2.0-78650160140
"Hughes, T.P., Rodrigues, M.J., Bellwood, D.R., Ceccarelli, D., Hoegh-Guldberg, O., McCook, L., Moltschaniwskyj, N., Pratchett, M.S., Steneck, R.S., Willis, B.",7401459068;7202521517;7003667955;9735879900;26643606100;6701840015;7003559035;6602290689;6701822254;7101749421;,"Phase Shifts, Herbivory, and the Resilience of Coral Reefs to Climate Change",2007,10,Current Biology,17,4,,360,365,,710,10.1016/j.cub.2006.12.049,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846908939&doi=10.1016%2fj.cub.2006.12.049&partnerID=40&md5=656c36a536ad5ad25d3ceab7c6d5a8ed,Article,Open Access,Scopus,2-s2.0-33846908939
"Thuiller, W., Lafourcade, B., Engler, R., Araújo, M.B.",6602123683;24780989300;23466174200;7202962622;,BIOMOD - A platform for ensemble forecasting of species distributions,2009,8,Ecography,32,3,,369,373,,703,10.1111/j.1600-0587.2008.05742.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-64649098806&doi=10.1111%2fj.1600-0587.2008.05742.x&partnerID=40&md5=486e9034d6e67df503ec99cfe7ac220d,Article,Open Access,Scopus,2-s2.0-64649098806
"Williams, J.W., Jackson, S.T., Kutzbach, J.E.",35427386200;7402695641;7003851161;,Projected distributions of novel and disappearing climates by 2100 AD,2007,10,Proceedings of the National Academy of Sciences of the United States of America,104,14,,5738,5742,,696,10.1073/pnas.0606292104,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34347233473&doi=10.1073%2fpnas.0606292104&partnerID=40&md5=3baec91c4f478b0114a16e01b6e30881,Article,Open Access,Scopus,2-s2.0-34347233473
"De'Ath, G., Fabricius, K.E., Sweatman, H., Puotinen, M.",55921854100;7005896357;6602888181;6602768521;,The 27-year decline of coral cover on the Great Barrier Reef and its causes,2012,5,Proceedings of the National Academy of Sciences of the United States of America,109,44,,17995,17999,,667,10.1073/pnas.1208909109,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868152767&doi=10.1073%2fpnas.1208909109&partnerID=40&md5=8d675ddaf4d0a938c5a30cf49ff2b777,Article,Open Access,Scopus,2-s2.0-84868152767
"Somero, G.N.",7005090881;,The physiology of climate change: How potentials for acclimatization and genetic adaptation will determine 'winners' and 'losers',2010,7,Journal of Experimental Biology,213,6,,912,920,,663,10.1242/jeb.037473,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77649199218&doi=10.1242%2fjeb.037473&partnerID=40&md5=0b125873f5e4b6ee85a7ddce60f3d08d,Article,Open Access,Scopus,2-s2.0-77649199218
"Chevin, L.-M., Lande, R., Mace, G.M.",14049622600;7006511894;7006595259;,"Adaptation, plasticity, and extinction in a changing environment: Towards a predictive theory",2010,7,PLoS Biology,8,4,,,,,660,10.1371/journal.pbio.1000357,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951716714&doi=10.1371%2fjournal.pbio.1000357&partnerID=40&md5=313fa31de462228f248af8885193f871,Article,Open Access,Scopus,2-s2.0-77951716714
"Church, J.A., White, N.J.",55216875500;7401767403;,Sea-Level Rise from the Late 19th to the Early 21st Century,2011,6,Surveys in Geophysics,32,4-5,,585,602,,630,10.1007/s10712-011-9119-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053195533&doi=10.1007%2fs10712-011-9119-1&partnerID=40&md5=a6a2b9bb53f622e9bf4b3266a27d54f0,Article,Open Access,Scopus,2-s2.0-80053195533
"Anthony, K.R.N., Kline, D.I., Diaz-Pulido, G., Dove, S., Hoegh-Guldberg, O.",7006648762;7201356222;6602495853;7005822223;26643606100;,Ocean acidification causes bleaching and productivity loss in coral reef builders,2008,9,Proceedings of the National Academy of Sciences of the United States of America,105,45,,17442,17446,,617,10.1073/pnas.0804478105,https://www.scopus.com/inward/record.uri?eid=2-s2.0-56249120656&doi=10.1073%2fpnas.0804478105&partnerID=40&md5=25fafd2d76133a20922463654385f2f7,Article,Open Access,Scopus,2-s2.0-56249120656
"Dufresne, J.-L., Foujols, M.-A., Denvil, S., Caubel, A., Marti, O., Aumont, O., Balkanski, Y., Bekki, S., Bellenger, H., Benshila, R., Bony, S., Bopp, L., Braconnot, P., Brockmann, P., Cadule, P., Cheruy, F., Codron, F., Cozic, A., Cugnet, D., de Noblet, N., Duvel, J.-P., Ethé, C., Fairhead, L., Fichefet, T., Flavoni, S., Friedlingstein, P., Grandpeix, J.-Y., Guez, L., Guilyardi, E., Hauglustaine, D., Hourdin, F., Idelkadi, A., Ghattas, J., Joussaume, S., Kageyama, M., Krinner, G., Labetoulle, S., Lahellec, A., Lefebvre, M.-P., Lefevre, F., Levy, C., Li, Z.X., Lloyd, J., Lott, F., Madec, G., Mancip, M., Marchand, M., Masson, S., Meurdesoif, Y., Mignot, J., Musat, I., Parouty, S., Polcher, J., Rio, C., Schulz, M., Swingedouw, D., Szopa, S., Talandier, C., Terray, P., Viovy, N., Vuichard, N.",7004714030;35271846300;10243911900;35271389900;10143232600;55903834200;6701597468;56259852000;16834715500;35271139000;35509639400;6603699075;6603875926;35271071300;9536987500;6602504047;6507671561;24766067800;36464907600;6603318870;6701744275;6507151484;6602886421;7003941060;55599515600;6602135031;6602080773;36961905100;57203142176;7003977187;6701735773;6505465237;55318190700;6603906450;7007181954;56134359300;55326759900;6507014409;54883121500;7101899588;7202219277;7409076504;35741200300;56186932200;57194045072;6504024880;7102059695;35933524800;57193170776;8651824700;8937991200;47561752700;7004910963;23981063100;7402485602;13610836500;15726660300;15758553800;8524448500;57192414605;16403683500;,Climate change projections using the IPSL-CM5 Earth System Model: From CMIP3 to CMIP5,2013,4,Climate Dynamics,40,9-10,,2123,2165,,604,10.1007/s00382-012-1636-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876880770&doi=10.1007%2fs00382-012-1636-1&partnerID=40&md5=e881c4f6eee7b359400ad2b3ba387b1d,Article,Open Access,Scopus,2-s2.0-84876880770
"Barnabás, B., Jäger, K., Fehér, A.",6701599675;9840488700;7004801824;,The effect of drought and heat stress on reproductive processes in cereals,2008,9,"Plant, Cell and Environment",31,1,,11,38,,583,10.1111/j.1365-3040.2007.01727.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-36749081620&doi=10.1111%2fj.1365-3040.2007.01727.x&partnerID=40&md5=562ae8ae7e80bfd51c4c01e153e54efd,Article,Open Access,Scopus,2-s2.0-36749081620
"Hansen, J., Sato, M., Ruedy, R.",7404334532;7405727977;6604021707;,Perception of climate change,2012,5,Proceedings of the National Academy of Sciences of the United States of America,109,37,,E2415,E2423,,577,10.1073/pnas.1205276109,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866306521&doi=10.1073%2fpnas.1205276109&partnerID=40&md5=6322b3fc42fff91b334f5fccea2c0892,Article,Open Access,Scopus,2-s2.0-84866306521
"Roy, D.P., Wulder, M.A., Loveland, T.R., C.E., W., Allen, R.G., Anderson, M.C., Helder, D., Irons, J.R., Johnson, D.M., Kennedy, R., Scambos, T.A., Schaaf, C.B., Schott, J.R., Sheng, Y., Vermote, E.F., Belward, A.S., Bindschadler, R., Cohen, W.B., Gao, F., Hipple, J.D., Hostert, P., Huntington, J., Justice, C.O., Kilic, A., Kovalskyy, V., Lee, Z.P., Lymburner, L., Masek, J.G., McCorkel, J., Shuai, Y., Trezza, R., Vogelmann, J., Wynne, R.H., Zhu, Z.",7402439028;7003817720;7003846526;56082785200;35551859000;7404764644;7003713591;7004413402;7406823860;7402555282;7003916945;7004208584;7103177588;7202843160;7004587891;7003399430;7005989723;57203081487;56486548700;6701580854;6602798575;7006544303;35573513700;55694391900;34880359800;7102838745;26659474400;7101963685;10139694400;6602598233;10439597500;7004089691;7006200031;56031375100;,Landsat-8: Science and product vision for terrestrial global change research,2014,3,Remote Sensing of Environment,145,,,154,172,,559,10.1016/j.rse.2014.02.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84896818071&doi=10.1016%2fj.rse.2014.02.001&partnerID=40&md5=405e2a949f1c030d5c927f76fe5198d7,Article,Open Access,Scopus,2-s2.0-84896818071
"Daufresne, M., Lengfellner, K., Sommer, U.",55533761600;24175562400;7006045303;,Global warming benefits the small in aquatic ecosystems,2009,8,Proceedings of the National Academy of Sciences of the United States of America,106,31,,12788,12793,,556,10.1073/pnas.0902080106,https://www.scopus.com/inward/record.uri?eid=2-s2.0-69149084381&doi=10.1073%2fpnas.0902080106&partnerID=40&md5=a77db5151c5abd19174ed31348d856f3,Article,Open Access,Scopus,2-s2.0-69149084381
"Dietz, T., Gardner, G.T., Gilligan, J., Stern, P.C., Vandenbergh, M.P.",7006695029;24775646400;7006375009;7202618128;9745962600;,Household actions can provide a behavioral wedge to rapidly reduce US carbon emissions,2009,8,Proceedings of the National Academy of Sciences of the United States of America,106,44,,18452,18456,,552,10.1073/pnas.0908738106,https://www.scopus.com/inward/record.uri?eid=2-s2.0-73249134816&doi=10.1073%2fpnas.0908738106&partnerID=40&md5=f545d05d4b196251374bc3bd577e636d,Article,Open Access,Scopus,2-s2.0-73249134816
"Adrian, R., O'Reilly, C.M., Zagarese, H., Baines, S.B., Hessen, D.O., Keller, W., Livingstone, D.M., Sommaruga, R., Straile, D., Van Donk, E., Weyhenmeyer, G.A., Winder, M.",7103321653;35332943100;6701782605;7005592775;7005265132;8603145100;7102791212;7003292546;6602588942;7004642700;6602535404;6603887949;,Lakes as sentinels of climate change,2009,8,Limnology and Oceanography,54,6 PART 2,,2283,2297,,551,10.4319/lo.2009.54.6_part_2.2283,https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956256352&doi=10.4319%2flo.2009.54.6_part_2.2283&partnerID=40&md5=b142358547d9348aa412040f232992a6,Article,Open Access,Scopus,2-s2.0-77956256352
