Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,citescore2017,DOI,Link,Document Type,Access Type,Source,EID
"D'Arrigo, R., Wilson, R., Jacoby, G.",7003697159;11038770400;57200609097;,On the long-term context for late twentieth century warming,2006,Journal of Geophysical Research Atmospheres,111,3, D03103,,,,308,,10.1029/2005JD006352,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646230076&doi=10.1029%2f2005JD006352&partnerID=40&md5=a49f8ef5e6afda8f54912cd360bb2148,Article,Open Access,Scopus,2-s2.0-33646230076
"Neelin, J.D., Münnich, M., Su, H., Meyerson, J.E., Holloway, C.E.",7006417494;6602635705;56537463000;9632612900;13411455700;,Tropical drying trends in global warming models and observations,2006,Proceedings of the National Academy of Sciences of the United States of America,103,16,,6110,6115,,292,,10.1073/pnas.0601798103,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646555831&doi=10.1073%2fpnas.0601798103&partnerID=40&md5=0720b876bfb61b9ec119ae1b2aafa38c,Article,Open Access,Scopus,2-s2.0-33646555831
"Kaser, G., Cogley, J.G., Dyurgerov, M.B., Meier, M.F., Ohmura, A.",6603757377;55665464100;6602769337;7202552148;7006471800;,Mass balance of glaciers and ice caps: Consensus estimates for 1961-2004,2006,Geophysical Research Letters,33,19, L19501,,,,286,,10.1029/2006GL027511,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34047202697&doi=10.1029%2f2006GL027511&partnerID=40&md5=0fa3d5fb739203b98a8c53853d10c608,Article,Open Access,Scopus,2-s2.0-34047202697
"Bales, R.C., Molotch, N.P., Painter, T.H., Dettinger, M.D., Rice, R., Dozier, J.",7006524822;6506027567;7005140533;7004651463;55963121400;7005128992;,Mountain hydrology of the western United States,2006,Water Resources Research,42,8, W08432,,,,282,,10.1029/2005WR004387,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33749417352&doi=10.1029%2f2005WR004387&partnerID=40&md5=61d93ac9748eaf32463594f3c33c97ba,Article,Open Access,Scopus,2-s2.0-33749417352
"Daly, C.",7103281037;,Guidelines for assessing the suitability of spatial climate data sets,2006,International Journal of Climatology,26,6,,707,721,,278,,10.1002/joc.1322,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646439129&doi=10.1002%2fjoc.1322&partnerID=40&md5=5d3a729faad93b43b49d814969a8fb37,Article,Open Access,Scopus,2-s2.0-33646439129
"López-Urrutia, Á., San Martin, E., Harris, R.P., Irigoien, X.",6602569062;14012338100;7405698479;7003540025;,Scaling the metabolic balance of the oceans,2006,Proceedings of the National Academy of Sciences of the United States of America,103,23,,8739,8744,,273,,10.1073/pnas.0601137103,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745014310&doi=10.1073%2fpnas.0601137103&partnerID=40&md5=ad0daaaac232d3c0ea49293f18da5afc,Article,Open Access,Scopus,2-s2.0-33745014310
"Leakey, A.D.B., Uribelarreà, M., Ainsworth, E.A., Naidu, S.L., Rogers, A., Ort, D.R., Long, S.P.",6602750259;6505778456;7006021920;7102706815;7402817335;7004112739;7402506808;,"Photosynthesis, productivity, and yield of maize are not affected by open-air elevation of CO2 concentration in the absence of drought",2006,Plant Physiology,140,2,,779,790,,268,,10.1104/pp.105.073957,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646839814&doi=10.1104%2fpp.105.073957&partnerID=40&md5=0e20846a0316a298f3b290bf1ea987a5,Article,Open Access,Scopus,2-s2.0-33646839814
"Miller, R.L., Schmidt, G.A., Shindell, D.T.",36705143500;35561911800;7004214645;,Forced annular variations in the 20th century Intergovernmental Panel on Climate Change Fourth Assessment Report models,2006,Journal of Geophysical Research Atmospheres,111,18, D18101,,,,261,,10.1029/2005JD006323,https://www.scopus.com/inward/record.uri?eid=2-s2.0-38549126648&doi=10.1029%2f2005JD006323&partnerID=40&md5=90e26aa8c60a5d6891627413f91aa79f,Article,Open Access,Scopus,2-s2.0-38549126648
"Baker, D.F., Law, R.M., Gurney, K.R., Rayner, P., Peylin, P., Denning, A.S., Bousquet, P., Bruhwiler, L., Chen, Y.-H., Ciais, P., Fung, I.Y., Heimann, M., John, J., Maki, T., Maksyutov, S., Masarie, K., Prather, M., Pak, B., Taguchi, S., Zhu, Z.",7404141827;7201502185;7004054542;35866001600;6603623663;7004284631;56240124100;9274531600;7601429168;55399842300;7006797602;7005902195;7201656946;7201925326;6602773904;6603950190;7005275092;7003401981;7202030612;7404803784;,"TransCom 3 inversion intercomparison: Impact of transport model errors on the interannual variability of regional CO<inf>2</inf> fluxes, 1988-2003",2006,Global Biogeochemical Cycles,20,1, GB1002,,,,261,,10.1029/2004GB002439,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646539517&doi=10.1029%2f2004GB002439&partnerID=40&md5=b82e6e9809e7537aca9044b75d3ebd45,Article,Open Access,Scopus,2-s2.0-33646539517
"Klein Tank, A.M.G., Peterson, T.C., Quadir, D.A., Dorji, S., Zou, X., Tang, H., Santhosh, K., Joshi, U.R., Jaswal, A.K., Kolli, R.K., Sikder, A.B., Deshpande, N.R., Revadekar, J.V., Yeleuova, K., Vandasheva, S., Faleyeva, M., Gomboluudev, P., Budhathoki, K.P., Hussain, A., Afzaal, M., Chandrapala, L., Anvar, H., Amanmurad, D., Asanova, V.S., Jones, P.D., New, M.G., Spektorman, T.",6506543806;7202318056;6603006254;15922657800;55418454500;8832728400;15923825800;15922493500;15922497600;15923215500;7006080307;36762296500;12759748000;15924256900;15924332300;15922734200;15922666200;8329950900;15922809400;56435985400;6506188975;15922378600;15922159800;15922047900;55768583400;7102739935;6507548889;,Changes in daily temperature and precipitation extremes in central and south Asia,2006,Journal of Geophysical Research Atmospheres,111,16, D16105,,,,256,,10.1029/2005JD006316,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646368009&doi=10.1029%2f2005JD006316&partnerID=40&md5=e62b6e3eb582c57b5ba3ff671e734c95,Article,Open Access,Scopus,2-s2.0-33646368009
"Hewitson, B.C., Crane, R.G.",6602999938;7202984972;,Consensus between GCM climate change projections with empirical downscaling: Precipitation downscaling over South Africa,2006,International Journal of Climatology,26,10,,1315,1337,,256,,10.1002/joc.1314,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746917488&doi=10.1002%2fjoc.1314&partnerID=40&md5=fb463ab92fbd8d4799a82dcb8084ecb5,Article,Open Access,Scopus,2-s2.0-33746917488
"Thompson, L.G., Mosley-Thompson, E., Brecher, H., Davis, M., León, B., Les, D., Lin, P.-N., Mashiotta, T., Mountain, K.",7403729580;56256760800;6602815526;36985801100;7005500144;7003430809;7403225500;6508120769;6602550765;,Abrupt tropical climate change: Past and present,2006,Proceedings of the National Academy of Sciences of the United States of America,103,28,,10536,10543,,251,,10.1073/pnas.0603900103,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746036489&doi=10.1073%2fpnas.0603900103&partnerID=40&md5=38ede171a436ea0876fb46ad8156f7ba,Article,Open Access,Scopus,2-s2.0-33746036489
"Helmuth, B., Broitman, B.R., Blanchette, C.A., Gilman, S., Halpin, P., Harley, C.D.G., O'Donnell, M.J., Hofmann, G.E., Menge, B., Strickland, D.",6603776423;6508052011;7003860068;8054365700;6603899069;7102684397;35303400900;7202274369;7003575139;36923437300;,Mosaic patterns of thermal stress in the rocky intertidal zone: Implications for climate change,2006,Ecological Monographs,76,4,,461,479,,238,,10.1890/0012-9615(2006)076[0461:MPOTSI]2.0.CO;2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845336136&doi=10.1890%2f0012-9615%282006%29076%5b0461%3aMPOTSI%5d2.0.CO%3b2&partnerID=40&md5=9a1ef11901ded7509afce8ab80778233,Article,Open Access,Scopus,2-s2.0-33845336136
"Wang, T., Hamann, A., Spittlehouse, D.L., Aitken, S.N.",56026541800;7102254283;6603054220;7005587596;,Development of scale-free climate data for western Canada for use in resource management,2006,International Journal of Climatology,26,3,,383,397,,235,,10.1002/joc.1247,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644833222&doi=10.1002%2fjoc.1247&partnerID=40&md5=6b647faf75a39fae2a9a0c5d13cc9576,Article,Open Access,Scopus,2-s2.0-33644833222
"Gao, X., Pal, J.S., Giorgi, F.",8042105100;7004533232;7006592026;,Projected changes in mean and extreme precipitation over the Mediterranean region from a high resolution double nested RCM simulation,2006,Geophysical Research Letters,33,3, L03706,,,,226,,10.1029/2005GL024954,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645838405&doi=10.1029%2f2005GL024954&partnerID=40&md5=bb15d290cca0d96eb2b8c19ac26e4038,Article,Open Access,Scopus,2-s2.0-33645838405
"Haylock, M.R., Cawley, G.C., Harpham, C., Wilby, R.L., Goodess, C.M.",6602945898;7003719588;6507868235;7005446783;6602498322;,Downscaling heavy precipitation over the United Kingdom: A comparison of dynamical and statistical methods and their future scenarios,2006,International Journal of Climatology,26,10,,1397,1415,,225,,10.1002/joc.1318,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746907039&doi=10.1002%2fjoc.1318&partnerID=40&md5=2c2c04db0552a243b64c0c58bcf610e4,Article,Open Access,Scopus,2-s2.0-33746907039
"Nordhaus, W.D.",7004576935;,Geography and macroeconomics: New data and new findings,2006,Proceedings of the National Academy of Sciences of the United States of America,103,10,,3510,3517,,222,,10.1073/pnas.0509842103,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644859585&doi=10.1073%2fpnas.0509842103&partnerID=40&md5=85d4e4fe6a7025226ab61c0654ef7a2f,Article,Open Access,Scopus,2-s2.0-33644859585
"Staubwasser, M., Weiss, H.",6603304465;56266421900;,Holocene climate and cultural evolution in late prehistoric-early historic West Asia,2006,Quaternary Research,66,3,,372,387,,216,,10.1016/j.yqres.2006.09.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33751335403&doi=10.1016%2fj.yqres.2006.09.001&partnerID=40&md5=ebf6539517d0e80063f403a6b84e2fbf,Article,Open Access,Scopus,2-s2.0-33751335403
"Van Groenigen, K.-J., Six, J., Hungate, B.A., De Graaff, M.-A., Van Breemen, N., Van Kessel, C.",8134479200;7005493256;7003965032;9941977000;7005829706;55663161900;,Element interactions limit soil carbon storage,2006,Proceedings of the National Academy of Sciences of the United States of America,103,17,,6571,6574,,210,,10.1073/pnas.0509038103,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33646232989&doi=10.1073%2fpnas.0509038103&partnerID=40&md5=9c381f66c8e4ad95464d2f109f439eb3,Article,Open Access,Scopus,2-s2.0-33646232989
"House, K.Z., Schrag, D.P., Harvey, C.F., Lackner, K.S.",14119699200;7005173878;7202113812;7102744837;,Permanent carbon dioxide storage in deep-sea sediments,2006,Proceedings of the National Academy of Sciences of the United States of America,103,33,,12291,12295,,209,,10.1073/pnas.0605318103,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33747596690&doi=10.1073%2fpnas.0605318103&partnerID=40&md5=224d9a90d50db76920b177ed4998f3db,Article,Open Access,Scopus,2-s2.0-33747596690
"Shankman, D., Keim, B.D., Song, J.",6602341736;6603840115;55313019700;,Flood frequency in China's Poyang lake region: Trends and teleconnections,2006,International Journal of Climatology,26,9,,1255,1266,,205,,10.1002/joc.1307,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745927719&doi=10.1002%2fjoc.1307&partnerID=40&md5=659b341906598ddb2fc7e23e9e9159a6,Article,Open Access,Scopus,2-s2.0-33745927719
"Scott, A.C., Glasspool, I.J.",7403265790;57203075043;,The diversification of Paleozoic fire systems and fluctuations in atmospheric oxygen concentration,2006,Proceedings of the National Academy of Sciences of the United States of America,103,29,,10861,10865,,196,,10.1073/pnas.0604090103,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746645151&doi=10.1073%2fpnas.0604090103&partnerID=40&md5=27a460e2f0cb7c7ef600e8c0186e09d7,Article,Open Access,Scopus,2-s2.0-33746645151
"Flanner, M.G., Zender, C.S.",8570871900;6603400519;,Linking snowpack microphysics and albedo evolution,2006,Journal of Geophysical Research Atmospheres,111,12, D12208,,,,196,,10.1029/2005JD006834,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750623275&doi=10.1029%2f2005JD006834&partnerID=40&md5=cd073bd7fd6ae82296f3ee1fc41b15fa,Article,Open Access,Scopus,2-s2.0-33750623275
"O'Brien, G., O'Keefe, P., Rose, J., Wisner, B.",56270368700;7006843949;24177251700;6701760539;,Climate change and disaster management,2006,Disasters,30,1,,64,80,,195,,10.1111/j.1467-9523.2006.00307.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-33644787027&doi=10.1111%2fj.1467-9523.2006.00307.x&partnerID=40&md5=6c10250d226ef5f6f75737e6abfa152d,Article,Open Access,Scopus,2-s2.0-33644787027
"Gillett, N.P., Kell, T.D., Jones, P.D.",7006130951;21739656000;55768583400;,Regional climate impacts of the Southern Annular Mode,2006,Geophysical Research Letters,33,23, L23704,,,,193,,10.1029/2006GL027721,https://www.scopus.com/inward/record.uri?eid=2-s2.0-34250859613&doi=10.1029%2f2006GL027721&partnerID=40&md5=c18ce656e6f1d850d26210ac8e4b1595,Article,Open Access,Scopus,2-s2.0-34250859613
